word,translation,sentence example
Arrampicata,Climbing,Oggi facciamo un'arrampicata in montagna.
Laureato,Graduate,Mio fratello è laureato in storia.
Ci va,Goes there / It takes,Lui ci va ogni mattina.
Sopravvivere,To survive,Dobbiamo sopravvivere a questo freddo.
Quella,That,Quella macchina è molto bella.
Sia,Be (subjunctive) / Both/And,Spero che la situazione sia chiara.
Come vedi,As you see,"Come vedi, ho finito il lavoro."
Anche,Also / Too,Anche io voglio venire con voi.
Sta andando,Is going,Come sta andando il tuo progetto?
Giornata,Day,È stata una lunga giornata.
Così,So / Thus,Perché sei così stanco?
Non vedo l'ora,I can't wait,Non vedo l'ora di partire per le vacanze.
Burro,Butter,"Passami il burro, per favore."
Salire,To go up / To climb,Dobbiamo salire al terzo piano.
Salgo le scale,I climb the stairs,Salgo le scale invece di usare l'ascensore.
Lungo,Long,Il viaggio in treno è molto lungo.
Peperoncino,Chili pepper,"Mi piace la pasta con aglio, olio e peperoncino."
Aglio,Garlic,Aggiungi uno spicchio d'aglio alla ricetta.
Sede,Headquarters / Seat,La sede dell'azienda si trova a Roma.
Chiedere indicazioni,To ask for directions,"Mi sono perso, devo chiedere indicazioni."
Vai dritto,Go straight,Vai dritto fino alla fine della strada.
Sinistra,Left,Gira a sinistra al prossimo incrocio.
Destra,Right,La farmacia è sulla destra.
Girare,To turn,Devi girare l'angolo per trovare il bar.
Continuo dritto,I continue straight,Io continuo dritto per questa via.
Quasi,Almost,Sono quasi le otto di sera.
Oppure,Or,Vuoi bere tè oppure caffè?
In confronto,In comparison,"In confronto a ieri, oggi fa molto caldo."
Compiti,Homework / Tasks,Hai finito i tuoi compiti per domani?
Meglio,Better,Oggi mi sento molto meglio.
Senza,Without,Vorrei un caffè senza zucchero.
Interruzione,Interruption,Ha parlato per ore senza interruzione.
Che lavoro faccio,What job I do,Mi chiedono spesso che lavoro faccio.
Li utilizzerai,You will use them,"Questi strumenti, li utilizzerai molto presto."
Chiaro,Clear,Il cielo è molto chiaro stamattina.
Poi,Then,"Prima mangiamo, poi usciamo."
Piu (Più),More,Vorrei un po' più di tempo.
Di nuovo,Again,Sta piovendo di nuovo.
Un'altra volta,Another time / Once again,Te lo spiego un'altra volta.
Potere,To be able to / Power,Volere è potere.
Essere,To be,È importante essere gentili.
Avere,To have,Devo avere pazienza con lui.
Nel,In the,I pesci nuotano nel mare.
Sul,On the,Il libro è sul tavolo della cucina.
La Nave,The ship,La nave parte esattamente a mezzogiorno.
L'aereo,The airplane,Prendo l'aereo per andare a Milano.
Arrabbiata,Angry (feminine),Maria è molto arrabbiata con te.
Sapere,To know,Voglio sapere tutta la verità.
È stata,Has been / Was (feminine),È stata un'esperienza indimenticabile.
Domanda,Question,Posso farti una domanda veloce?
Fiume,River,Il fiume attraversa tutta la città.
Festa,Party,Stasera c'è una grande festa in spiaggia.
Mai,Never,Non dico mai bugie ai miei amici.
Volere,To want,Volere è il primo passo per riuscire.
Ascoltare,To listen,Mi piace ascoltare la musica classica.
Guardare,To watch / To look at,Andiamo a guardare il tramonto insieme.
Sedia,Chair,Prendi una sedia e accomodati.
Caldo,Hot,In estate fa sempre molto caldo.
Veloce,Fast,Questo treno è davvero molto veloce.